time_code,temperature,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_y,mag_x,mag_z,roulis,tangage,lacet,compteur,status[0],status[1],status[2],status[3],status[4],status[5],status[6],status[7],time_code_sec,Gyr X,Gyr Y,Gyr Z,Acc Z corrigé
2017/04/26 - 13:29:50:01,27.9375,1.1506,-0.02998,9.77394,0.00414,0.00692,-0.00145,0.56817,-0.40724,1.19063,-0.1334,-6.49502,48.73577,0,1,1,1,0,0,1,0,1,48590.0,0.2372045271841608,0.3964867942305297,-0.08307888029396936,9.79394
2017/04/26 - 13:29:50:02,27.9375,1.15052,-0.05272,9.77455,-0.00638,-0.00378,0.00217,0.56805,-0.40765,1.18962,-0.1375,-6.49295,48.7346,0,1,1,1,0,0,1,0,1,48590.01,-0.36554707329346525,-0.21657804655945118,0.12433184154338864,9.79455
2017/04/26 - 13:29:50:03,27.9375,1.15045,-0.05275,9.78208,0.00773,-0.00021,-0.00142,0.56727,-0.40695,1.188,-0.13348,-6.49797,48.73602,0,1,1,1,0,0,1,0,1,48590.02,0.4428963756361263,-0.012032113697747288,-0.0813600069085769,9.80208
2017/04/26 - 13:29:50:04,27.9375,1.15038,-0.05278,9.78962,0.00775,0.00507,0.00394,0.56662,-0.40653,1.19028,-0.12961,-6.49999,48.73464,0,1,1,1,0,0,1,0,1,48590.03,0.444042291226388,0.29048960213132735,0.22574537128154434,9.809619999999999
2017/04/26 - 13:29:50:05,27.9375,1.15052,-0.05272,9.77455,0.00416,0.01044,0.00212,0.5674,-0.40793,1.18949,-0.12786,-6.49992,48.73706,0,1,1,1,0,0,1,0,1,48590.04,0.23835044277442244,0.5981679381165794,0.12146705256773452,9.79455
2017/04/26 - 13:29:50:06,27.9375,1.15814,-0.0376,9.77419,0.00053,0.00347,-0.0113,0.5674,-0.40681,1.18976,-0.12713,-6.49584,48.73783,0,1,1,1,0,0,1,0,1,48590.05,0.03036676314193363,0.19881635491039565,-0.6474423084978302,9.79419
2017/04/26 - 13:29:50:07,27.9375,1.15807,-0.03762,9.78173,-0.00643,0.00512,0.00213,0.56766,-0.40765,1.18974,-0.13146,-6.49671,48.73147,0,1,1,1,0,0,1,0,1,48590.06,-0.3684118622691193,0.2933543911069815,0.12204001036286534,9.80173
2017/04/26 - 13:29:50:08,27.9375,1.15062,-0.02239,9.77374,0.00428,0.00322,0.01111,0.56817,-0.40737,1.18975,-0.13004,-6.49567,48.73187,0,1,1,1,0,0,1,0,1,48590.07,0.24522593631599235,0.1844924100321251,0.6365561103903447,9.79374
2017/04/26 - 13:29:50:09,27.9375,1.15043,-0.03761,9.78921,0.00071,-0.00382,0.00397,0.56818,-0.40863,1.18934,-0.13039,-6.52791,48.73843,0,1,1,1,0,0,1,0,1,48590.08,0.04068000345428845,-0.2188698777399745,0.2274642446669368,9.80921
2017/04/26 - 13:29:50:10,27.9375,1.1505,-0.03759,9.78168,0.00243,0.00686,0.00393,0.56778,-0.40626,1.18939,-0.12957,-6.46948,48.74012,0,1,1,1,0,0,1,0,1,48590.09,0.13922874421679005,0.3930490474597447,0.22517241348641354,9.80168
